"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 22 18:40:39 GMT 2024","Thu Feb 22 18:40:40 GMT 2024","1062","test","test_hootel","TestHootel","","","test_hotel_list",""
"broken","Thu Feb 22 18:40:37 GMT 2024","Thu Feb 22 18:40:37 GMT 2024","24","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
